| วท 6000105 | กฎหมายและจริยธรรมด้านเทคโนโลยีดิจิทัล | Law and Ethics in Digital Technology | ผลกระทบทางสังคมและวัฒนธรรมเนื่องจากเทคโนโลยีสารสนเทศและสังคมออนไลน์ ความหลากหลาย โลกาภิวัฒน์ ช่องว่างดิจิทัล การคำนึงถึงข้อบกพร่องทางการรับรู้ ข้อคำนึงทางเศรษฐศาสตร์ ประเด็นทางกฎหมายที่เกี่ยวข้องกับพระราชบัญญัติคุ้มครองข้อมูลส่วนบุคคลและกฎหมายที่เกี่ยวข้องทั้งไทยและสากล นโยบายสิทธิความเป็นส่วนตัว อาชญากรรมจากการใช้เทคโนโลยี ภัยคุกคามของระบบสารสนเทศ และการป้องกันอาชญากรรมในโลกไซเบอร์ การจัดการทรัพย์สินทางปัญญา ประเด็นทางวิชาชีพและจริยธรรม องค์กรวิชาชีพ จริยธรรมและความประพฤติสำหรับนักคอมพิวเตอร์ | 3(3-0-6) |
| วท 6004115 | การตัดต่อและเทคนิคพิเศษในการผลิตภาพยนตร์ | Film Editing and Advanced Visual Effect Production | ทฤษฎีและหลักการตัดต่อประเภทต่าง ๆ การนำเข้าภาพ เสียงและวิดีโอ การตัดต่อแก้ไขไฟล์วิดีโอและเสียง การแก้ไขและเพิ่มเทคนิคสีสันให้กับวิดีโอ การซ้อนวิดีโอ การจัดทำข้อความประกอบในงานตัดต่อวิดีโอ การใส่เสียงประกอบ การใช้เทคนิคพิเศษในงานภาพยนตร์ การนำไฟล์วิดีโอไปใช้งานในรูปแบบต่าง ๆ การใช้งานเครื่องมือและซอฟต์แวร์สำหรับการสร้างเอฟเฟคต์พิเศษสำหรับวีดิโอ เทคนิคการใช้งานบลูสกรีน การฝึกปฏิบัติการตัดต่อ และกระบวนการนำเสนอผลงาน | 3(2-2-5) |
| วท 6004116 | การผลิตแอนิเมชัน 2 มิติ | 2D Animation Production | หลักการออกแบบและสร้างภาพเคลื่อนไหว 2 มิติ เทคนิคการสร้างภาพเคลื่อนไหวแบบต่าง ๆ การทวีน เฟรมบายเฟรม การเปลี่ยนรูปร่าง การหมุน การเปลี่ยนสีของวัตถุ การสร้างฉาก การเคลื่อนไหวของวัตถุและสิ่งมีชีวิต | 3(2-2-5) |
| วท 6004117 | การออกแบบเว็บไซต์ | Web Design | แนวทางและขั้นตอนการพัฒนาเว็บไซต์ หลักการออกแบบเว็บไซต์ โดยใช้ภาษาหรือซอฟต์แวร์ในการพัฒนาเว็บไซต์ การบริหารเว็บไซต์ การสำรวจความต้องการของการพัฒนาเว็บไซต์ การใช้เทคนิคในการพัฒนาเว็บไซต์ การนำเสนอองค์ประกอบของเว็บไซต์ การออกแบบการนำทางของเว็บไซต์ การใช้เครื่องมือของซอฟต์แวร์ด้านต่าง ๆ หลักการอัพโหลด และสามารถนำไปประยุกต์ใช้ได้ | 3(2-2-5) |
| วท 6004118 | การออกแบบเกม | Game Design | หลักการการออกแบบองค์ประกอบเกมพื้นฐาน กฎการเล่น การสร้างเกมต้นแบบด้วยกระดาษ ตลอดจนกระบวนการทดสอบ ปรับปรุง การใช้โปรแกรมสำเร็จรูปในการออกแบบเกม 2 มิติ | 3(2-2-5) |
| วท 6004206 | การวาดภาพดิจิทัล | Drawing Digital Image | หลักการวาดเส้นเพื่อประยุกต์ในวิชาชีพด้านดิจิทัลอาร์ต การเขียนภาพของมนุษย์และสัตว์ที่เน้นความสมจริง รวมถึงหลักการทัศนียภาพ โดยฝึกปฏิบัติการใช้เครื่องมือแบบดั้งเดิมและดิจิทัลเพื่อถ่ายทอดออกมาเป็นผลงานในหลายรูปแบบ ซึ่งให้ความรู้สึกที่แตกต่างกัน อันเป็นการพัฒนาทักษะการวาดเส้นที่นำไปสู่การสร้างสรรค์งานลักษณะเฉพาะในวิชาชีพ | 3(2-2-5) |
| วท 6004207 | การออกแบบสต็อปโมชัน | Stop Motion Design | ภาพเคลื่อนไหวแบบสต็อปโมชัน หลักการสร้างภาพเคลื่อนไหวแบบสต็อปโมชัน รูปแบบการสร้างด้วยเทคนิคที่แตกต่างกัน เคลย์เมชัน ออปเจ็คแอนิเมชัน คัทเอาท์แอนิเมชัน พิซิเลชัน ฝึกปฏิบัติการสร้างภาพเคลื่อนไหวแบบสต็อปโมชัน | 3(2-2-5) |
| วท 6004208 | อุตสาหกรรมด้านการผลิตสื่อมัลติมีเดีย | Multimedia Production Industry | แนวโน้มและสถานภาพของโลกยุคโลกาภิวัฒน์ของอุตสาหกรรมแอนิเมชันและมัลติมีเดีย ศึกษาวิเคราะห์ความต้องการของตลาด ห่วงโซ่อุตสาหกรรม ขั้นตอนการผลิต เรียนรู้การเป็นผู้ประกอบการสินค้าและบริการด้านแอนิเมชัน เรียนรู้อุตสาหกรรมแอนิเมชันในงานด้านต่าง ๆ ทั้งในและต่างประเทศ ฝึกปฏิบัติการสร้างสื่อสำหรับงานอุตสาหกรรมต่าง ๆ | 3(2-2-5) |
| วท 6004209 | การผลิตงานมัลติมีเดียเพื่อการโฆษณา | Multimedia Production for Advertising | หลักการการโฆษณาและประชาสัมพันธ์ ขั้นตอนการผลิตสื่อเพื่อการโฆษณา ผลทางจิตวิทยาที่มีต่อผู้รับสาร ความสัมพันธ์ระหว่างความคิดสร้างสรรค์และเนื้อหา การเขียนบทโฆษณา การประเมินคุณภาพของสื่อ และฝึกปฏิบัติผลิตสื่อโดยใช้แอปพลิเคชัน | 3(2-2-5) |
| วท 6004210 | การผลิตงานมัลติมีเดียสำหรับสื่อการเรียนรู้ | Multimedia for Learning Media | ศึกษาหลักการออกแบบและพัฒนาสื่อในรูปแบบของบทเรียน ออกแบบบทเรียนที่สามารถตอบสนองผู้เรียน และสนับสนุนการเรียนรู้ด้วยตนเอง และตอบสนองการเรียนรู้ของผู้เรียนในวัยต่าง ๆ โดยอาศัยซอฟต์แวร์ที่เกี่ยวข้อง | 3(2-2-5) |
| วท 6004211 | การผลิตภาพยนตร์และแอนิเมชัน | Video Editing and Animation | หลักการภาพยนตร์ ประวัติภาพยนตร์ ฝึกปฏิบัติการผลิตภาพวิดีทัศน์และงานแอนิเมชัน การใส่ตัวอักษร การปรับการเคลื่อนไหว การปรับแต่ง ใส่เทคนิคพิเศษเพื่อสร้างความสมบูรณ์ ขนาดภาพ มุมกล้อง และการใส่ลักษณะพิเศษให้แก่งาน การเผยแพร่งานในรูปแบบต่าง ๆ เพื่อนำไปใช้กับงานวิดีทัศน์ดิจิทัลและแอนิเมชัน | 3(2-2-5) |
| วท 6004212 | การสร้างวิชวลเอฟเฟกต์สำหรับงานมัลติมีเดีย | Visual Effect for Multimedia | การออกแบบและการผลิตเอฟเฟกต์เบื้องต้น อุปกรณ์ในการสร้างวิชวลเอฟเฟกต์ การใช้เทคนิคเพื่อสร้างหรือนำเสนอมุมมอง ภาพที่มีลักษณะพิเศษ หรือภาพที่ไม่สามารถถ่ายทำได้จริง สำหรับงานแอนิเมชัน การสร้างความน่าสนใจสอดคล้องกับอารมณ์ความรู้สึก และเทคนิคพิเศษร่วมกับโปรแกรมสร้างภาพยนตร์ | 3(2-2-5) |
| วท 6004213 | การผลิตแอนิเมชัน 3 มิติ | 3D Animation Production | หลักการสร้างภาพเคลื่อนไหว 3 มิติ องค์ประกอบของการกระทำ ลักษณะการเคลื่อนไหวของร่างกาย การจัดองค์ประกอบของงานแอนิเมชัน หลักการในการสร้างและควบคุมกระดูก ฝึกปฏิบัติใช้งานซอฟต์แวร์สำหรับภาพเคลื่อนไหว 3 มิติ | 3(2-2-5) |
| วท 6004214 | การประยุกต์ปัญญาประดิษฐ์เพื่องานมัลติมีเดีย | Artificial Intelligence for Multimedia | ความหมายของปัญญาประดิษฐ์ ประวัติความเป็นมาของปัญญาประดิษฐ์ หลักการและทฤษฎีพื้นฐานของปัญญาประดิษฐ์ การเรียนรู้ของเครื่องจักร ทั้งชนิดการเรียนรู้แบบมีผู้สอน การเรียนรู้แบบไม่มีผู้สอน รวมถึงการเรียนรู้แบบเสริมกำลัง การเรียนรู้เชิงลึก การประยุกต์ปัญญาประดิษฐ์สำหรับมัลติมีเดีย รวมถึงอนาคตและผลกระทบที่จะเกิดจากปัญญาประดิษฐ์ | 3(2-2-5) |
| วท 6004215 | การพัฒนาโมชันอินโฟกราฟิก | Motion Infographic Development | การออกแบบโมชันอินโฟกราฟิก โดยการนำข้อมูลหรือการเล่าเรื่องมาใช้ร่วมกับหลักการ เพื่อนำมาเสนอให้อยู่ในรูปแบบต่าง ๆ นำเสนอด้วยภาพกราฟิกและภาพเคลื่อนไหวอย่างสร้างสรรค์ และสามารถเล่าเรื่องได้ด้วยตัวเอง โดยการนำเสนอนั้นต้องผ่านขั้นตอน การลำดับเหตุการณ์ และการตรวจสอบข้อมูลและการทดลองใช้ก่อนนำไปเผยแพร่สู่ระบบออนไลน์ | 3(2-2-5) |
| วท 6004216 | การพัฒนานวัตกรรมดิจิทัลเพื่อชุมชนท้องถิ่น | Innovation for Community Enterprise | ความหมายของนวัตกรรมดิจิทัล หลักการสร้างนวัตกรรมดิจิทัล การสร้างนวัตกรรมภายใต้หลักการตามปรัชญาเพื่อชุมชนท้องถิ่น การวางแผนทำธุรกิจชุมชน วิเคราะห์ การประยุกต์ใช้มัลติมีเดียและนวัตกรรมดิจิทัลสำหรับการนำเสนอข้อมูลชุมชนท้องถิ่น เพื่อให้เกิดประโยชน์กับตนเอง ครอบครัวและชุมชนให้มีความรู้ ความเข้าใจและเจตคติที่ดีการใช้นวัตกรรมดิจิทัล และสามารถประยุกต์ใช้ในการดำเนินชีวิตได้อย่างเหมาะสม | 3(2-2-5) |
| วท 6004217 | การออกแบบเอกลักษณ์และแบรนด์ | Identity and Branding Design | หลักการและฝึกการออกแบบเอกลักษณ์องค์กร การออกแบบตราสินค้า การออกแบบสื่อเพื่อสร้างภาพลักษณ์ที่ดีและน่าจดจำให้แก่องค์กร การนำเอกลักษณ์องค์กรไปประยุกต์ใช้กับสื่อต่าง ๆ เว็บไซต์ โฆษณาดิจิทัล | 3(2-2-5) |
| วท 6004218 | การผลิตสื่อสร้างสรรค์สำหรับงานมัลติมีเดีย | Creative Tools for Digital Media | หลักการผลิตสื่อสร้างสรรค์ ประเภทของสื่อดิจิทัล พัฒนาการของเครื่องมือในการผลิตสื่อดิจิทัล เทคนิคและวิธีการในการสร้างสื่อดิจิทัล การออกแบบองค์ประกอบศิลป์ เสียง ภาพ และเทคนิคพิเศษสำหรับสื่อสิ่งพิมพ์และระบบออนไลน์ กระบวนการผลิตสื่อดิจิทัล การเผยแพร่สื่อดิจิทัล ฝึกปฏิบัติการใช้เครื่องมือสำหรับการสื่อ | 3(2-2-5) |
| วท 6004315 | การออกแบบภาพ เสียงและแสง เพื่องานมัลติมีเดีย | Sound for Multimedia | หลักการพื้นฐานภาพ กระบวนการประมวลผลและการปรับปรุงคุณภาพในเชิงดิจิทัล ทฤษฎีสี การใช้สี ทฤษฎีเสียง หลักการออกแบบระบบเสียง การวิเคราะห์เสียง การจำแนกจังหวะความถี่ การจัดวางตำแหน่งของเสียง การตัดต่อและบันทึกเสียง กระบวนการผลิตเสียงสำหรับงานมัลติมีเดีย เทคนิคการจัดแสงสื่ออารมณ์ และการใช้โปรแกรมสำเร็จรูปสำหรับงานมัลติมีเดีย | 3(2-2-5) |
| วท 6004316 | การพัฒนาระบบเมตาเวิร์ส | Metaverse Development | องค์ประกอบ โครงสร้าง สถาปัตยกรรม เนื้อหาการสร้างโลกคู่ขนาน โลกคู่ขนานแบบความจริงเสริม โลกคู่ขนานแบบโลกสมมติ แพลตฟอร์มเมตาเวิร์ส เมตาเวิร์สข้ามแพลตฟอร์ม อุปกรณ์ที่ใช้ในงาน การสร้างรายได้จากเมต้าเวิร์ส การวิเคราะห์โลกคู่ขนาน การผลิตเมตาเวิร์ส การประยุกต์ใช้กับงานด้านต่าง ๆ | 3(2-2-5) |
| วท 6004317 | สัมมนาวิชาชีพมัลติมีเดีย | Seminar Professional in Multimedia | หลักการจัดสัมมนา และการฝึกปฏิบัติเพื่อการจัดสัมมนารูปแบบต่าง ๆ ในประเด็นที่เกี่ยวข้องกับงานทางด้านเทคโนโลยีมัลติมีเดียและแอนิเมชัน เพื่อนำไปประยุกต์ใช้ในการฝึกปฏิบัติการจัดสัมมนาวิชาชีพ รวมถึงการศึกษาความเป็นไปได้ของโครงงาน การเขียนโครงงาน การนำเสนอโครงงาน วางแผนการดำเนินงานตามขั้นตอนการพัฒนา | 3(2-2-5) |
| วท 6004445 | ประสบการณ์ภาคสนามด้านเทคโนโลยีมัลติมีเดีย | Training Experience Multimedia Technology | การฝึกประสบการณ์วิชาชีพในหน่วยงานของรัฐ รัฐวิสาหกิจ หรือเอกชนที่เกี่ยวข้องกับด้านเทคโนโลยีมัลติมีเดีย เพื่อเสริมสร้างให้เกิดทักษะด้านอาชีพ | 3(480) |
| วท 6004447 | เตรียมฝึกสหกิจศึกษาทางเทคโนโลยีมัลติมีเดีย | Preparation for Co-operation Education in Multimedia Technology | หลักการและแนวคิดเกี่ยวกับสหกิจศึกษา กระบวนการและขั้นตอนของสหกิจศึกษา ระเบียบ ข้อบังคับที่เกี่ยวข้องกับสหกิจศึกษา ความรู้พื้นฐาน เทคนิคและการเตรียมความพร้อมสำหรับการปฏิบัติงานในสถานประกอบการ วิธีการทำโครงงานและรายงานที่เกี่ยวข้องกับวิชาชีพ เตรียมโครงงาน กำหนดหัวข้อ ลักษณะและรายละเอียดของโครงงานสหกิจศึกษาที่ต้องออกปฏิบัติงาน | 1(0-2-1) |
| วท 6004448 | สหกิจศึกษาทางเทคโนโลยีมัลติมีเดีย | Co-operative Education in Multimedia Technology | การปฏิบัติงานที่เกี่ยวข้องกับวิชาชีพ ณ สถานประกอบการ การทำโครงงานหรือรายงานที่เกี่ยวข้องกับวิชาชีพซึ่งมีประโยชน์ทั้งต่อนักศึกษาและสถานประกอบการ การจัดการและการวางแผน วิจารณญาณและการตัดสินใจ การแก้ไขปัญหา วัฒนธรรมองค์การ การทำงานเป็นทีม มนุษยสัมพันธ์ บุคลิกภาพและการวางตัว ทักษะการสื่อสาร ความรับผิดชอบ คุณธรรมและจริยธรรม | 6(640) |
| วท 6004451 | เตรียมฝึกประสบการณ์ภาคสนามด้านเทคโนโลยีมัลติมีเดีย | Preparation for Experience in Multimedia Technology | เตรียมความพร้อมของผู้เรียนก่อนออกฝึกประสบการณ์วิชาชีพ ในด้านการรับรู้ ทักษะ ลักษณะและโอกาสของการประกอบอาชีพ และการพัฒนาคุณลักษณะที่เหมาะสมกับวิชาชีพด้านมัลติมีเดีย | 1(0-2-1) |
| วท 6004452 | โครงงานนักศึกษาด้านเทคโนโลยีมัลติมีเดีย | Senior Project of Multimedia Technology | การศึกษาปัญหาหรือความต้องการที่เกิดขึ้นจริงและทันสมัย และมีระดับความยุ่งยากซับซ้อนมากขึ้น โดยนักศึกษาต้องประมวลความรู้ทางเทคโนโลยีมัลติมีเดีย ทั้งภาคทฤษฎีและทักษะกระบวนการภาคปฏิบัติต่าง ๆ ที่ได้ศึกษา เพื่อนำมาวิเคราะห์และแก้ปัญหาอย่างมีระบบ บนพื้นฐานความรู้ทางวิทยาศาสตร์ ภายใต้การชี้แนะของอาจารย์ที่ปรึกษา นักศึกษาต้องมีความเข้าใจงานของตนเองเป็นอย่างดี ตลอดจนสามารถนำเสนอเรื่องราว เพื่อถ่ายทอดและเผยแพร่แก่ผู้อื่นให้รับรู้เข้าใจได้เป็นอย่างดี | 3(0-2-5) |
| นศ 3009108 | การถ่ายภาพดิจิทัล | Digital Photography | ความสำคัญของภาพถ่าย วิวัฒนาการของการถ่ายภาพ กล้องถ่ายภาพและอุปกรณ์การถ่ายภาพ การจัดองค์ประกอบภาพ มุมกล้อง ขนาดภาพ ธรรมชาติของแสง หลักการถ่ายภาพประเภทต่าง ๆ การนำเสนอแนวคิดในงานภาพถ่าย เทคโนโลยีการถ่ายภาพสมัยใหม่ กระบวนการผลิตภาพถ่ายดิจิทัล | 3(2-2-5) |
| ศป 2106106 | พื้นฐานทางศิลปะและการออกแบบ | - | ความหมาย ขอบข่าย ของงานศิลปะและการออกแบบ ส่วนประกอบของการออกแบบ องค์ประกอบศิลป์ ทฤษฎีสี วัสดุและเทคนิควิธีการต่าง ๆ โดยเน้นความคิดสร้างสรรค์ และฝึกปฏิบัติการออกแบบ | 3(2-2-5) |
